index,review,cpu,graphicard,hardisk,ram,screen
0,Worked great until the bottom half of the screen went fuzzy and started blinking. We only bought it 3 months ago. We've only used it at home on the couch. Its never been dropped or taken anywhere.,2,4,5,4,5
1,Quick to start but slow on some more processor intense operations. Excellent value for the money I paid for it.,2,2,5,4,2
2,"So far so good. It came as advertised gtx 1050ti. Battery life is prettt bad. No gaming and light use, I was needing a charge after 2 hours. I paid for one day shipping and Amazon botched it. Seen it coming too,and questioned them on it,but they assured me it was on schedule. They took care of it of course.",2,0,3,2,2
3,Not what I expected. Slow even with 2 windows or tabs open. Battery life is not as long as noted. Maybe a good kids first pc but other than punching buttons it is too slow and freezes all the time.,3,2,5,4,6
4,"I spent a good amount of time searching for a decent laptop. I was stuck between a Mac and an ASUS, I ended up going with this laptop...obviously.I was looking for a laptop with a lot of memory, I'm becoming a coder so I needed plenty of space for my applications and programs. This laptop has it's pros and cons, just like anything else does. I'll start with pros: the look of it is very nice and sleek I must say, space, of course, is a big plus to me, I really just love ASUS as a whole honestly. Cons: the battery life isn't as spectacular as I would think it would be, the speakers are not that great, although I stream it through my tv so that doesn't really matter too much. Sometimes, it will randomly freeze, not too long but long enough.Overall I will say it's a good computer and I'm pleased with it. So depending on what you are looking for in terms of use, I would suggest this one if it would suit your needs.",1,2,1,2,3
5,So far a great laptop that more than exceeds what I need in a daily work computer. Plenty fast and reliable with no issues to date. Screen is great just wish that it would open to a larger angle. Keys and trackpad are among the best I have used in a windows laptop with perfect travel and response. Combined with the dock and an external monitor it really is a pleasure to work on.,0,2,3,2,4
6,False advertising! Comes with a dvd\rw that doesnt work because you have to buy the software to use the dvd player after you recieve it. Windows 10 does not support the dvd functions without buying the dvd app from Microsoft. I found this out by chatting with the Microsoft support tech. I'm betting all the other pc and laptops with Windows 10 are the same way. Sounds like a class action lawsuit to me.,2,2,1,2,2
7,"This item was not what I expected it was in bad shape and didn't charge the battery after I charge it for 2 hours it look very old and scratches all over, I'm very disappointed.",3,2,5,4,6
8,One of my favorite laptop's yet,2,2,4,4,2
9,"This laptop is a reasonable price but its still not worth it. I should have sent it back right from the start but thought I would hang in there with it. I am on a 400 mps wifi with a router that supports up to 600 and I am barely squeaking out 120 in the same room as the router. All other laptops (HP) have no issues reaching over 300. It is extremely slow and half the time will not process links even with pop up blocker off. Buy a better machine, I wish I did.",2,3,1,2,2
10,"Bought this as a second gaming pc for my daughter to play MMORPGs with me. Inexpensive, uncomplicated, and ready to go in an hour. Love it. No problems so far.",2,0,1,2,2
11,"The only reason I am giving it four stars and not five is because of the keyboard, which is okay but could be better. Otherwise, it is a great chromebook.",2,4,5,4,5
12,So far it is good,2,1,1,2,2
13,"Small, compact, beautiful color, quality materials for the exterior. It's just like my bigger asus. If you like asus you'll love this computer. It's got everything. At first I had a little trouble with the web browsing (maybe it was my internet) but it works great now. Great alternative if you want all the looks of a MacBook Air but not the price. Plus, it's got windows! How much better can it get. Now I can take a light and efficient (cause the battery is WOW) laptop to class with me. Great for turning in assignments and printing on the go!Update--- removed a star because it sometimes shuts off for no reason and you have to hold down the power button for legitimately 20 seconds for it to turn on again. I have mini heart attacks every time this happens.",3,1,5,4,3
14,"Good quality exept it has very horrible batterie life, mine only last about 3 hours",3,1,5,4,3
15,Awesome computer!,3,1,5,4,3
16,The laptop lasted under a month and one day it just died and didn't turn back on...,3,1,5,4,3
17,"The only reason the computer did not get 5 stars is because the picture and the description show a dark blue computer, but it is purple.",3,2,0,2,2
18,so far so good,3,1,2,4,2
19,Definitely enjoy. However the transfer of data from my other computer has been time consuming,2,2,0,2,2
20,"love this, sadly use it more than my MacBook pro.",2,4,5,4,5
21,Good modern product. Arrived in time.,3,2,2,0,3
22,"Only have it two stars, mostly for style, not even two months owning this laptop and already faced slow performance with the hard drive causing most of the slow down in performance, not to mention they use a cheap drive for this laptop, being that it's a gamer laptop you would think they would use a much better hard drive built for gaming rather than an ordinary hard drive, anyways was very disappointed with this laptop even with all the tweaks that I used to supposedly stop the 100% disk usage issue, did not fix the problem as the performance issue came back a couple days later, in the end I just returned it for a refund and will just order next time with the components I want in a gaming laptop, at least I'll get what I pay for next time",1,0,1,2,2
