index,need,cpu,graphicard,hardisk,ram,screen
0,"I want to have a new computer for myself. It should be slim and fast. The screen should be great, the keyboard should be tolerable and the touchscreen should be responsive.",1,2,3,2,4
1,I do a lot of typing so the keys should be wonderful.,2,0,1,2,2
2,I would need large storage for my files.,2,2,1,4,2
3,I want a faster computer than my old ones.,3,2,0,2,2
4,I look into various factors while buying my new computer. I want good hardware and good display to go with it. I also need nice keyboard and trackpad. A decent battery life is also needed.,1,0,1,2,2
5,I would have the tablet for office use so it should be easy to use.,3,2,5,4,3
6,I am a student and I am finding an affordable computer that looks great.,3,2,1,4,2
7,My old computer needs replacement and I want a new one that has a nice screen and good keyboard.,3,2,1,4,2
8,My old computer is too slow so I need a new one.,1,0,3,2,2
9,I need a fast computer.,2,2,1,3,2
10,I want a powerful computer to come with a low price.,1,0,1,2,2
11,I am buying something from the Black Friday Bargain and I want a new computer that comes with good picture and good sound quality.,2,2,0,2,2
12,I need a good recommendation on a easy-to-set-up computer with not much bloatware.,2,2,0,2,2
13,I need an excellent choice for home working and it should be elegant and fast.,1,2,1,2,3
14,I surf the internet all day and I am finding a new laptop that do fast in that.,2,1,1,2,2
15,I am buying a new laptop for my daughter's graduation and it should be fast and have beautiful colours.,2,2,1,3,2
16,I need the computer to come with Microsoft programmes.,2,1,1,2,2
17,I do a lot of travel so I am finding a slim computer that can do well at that.,3,2,2,0,3
18,I play tons of games and I am finding one that has good keyboard and trackpad and screen. I hope it does well for games.,2,0,3,2,2
19,I did a lot of research on my new computer and my wish is to have a fast computer that play games well.,1,0,1,2,1
20,I am buying a computer as Christmas present for my son and he specifies that it has to be great for games.,1,0,1,2,2
21,I want a fast computer.,1,0,5,2,2
22,Speed is the particular area I look into when purchasing a new computer.,1,0,1,2,1
23,I need a good computer with good price.,1,4,1,3,2
24,The computer should have both reasonable price and performance.,1,0,5,2,2
25,"I am finding myself a new computer without a ton of bloatware. I will need a responsive keyboard and a responsive touchpad. It should be fast, slim, easy to setup and able to run cool.",1,0,3,2,2
26,I need a low priced mechine that is easy to setyp and sound greatly.,3,2,1,4,2
27,I am looking for a computer that will boot fast and play games with ease.,1,0,1,2,2
28,A cool computer which can run fast is what I need.,1,0,5,2,2
29,"I need to change to a new computer and I want it to have high portability, good display and good battery life.",3,2,2,0,3
30,I am finding a fast computer that runs smoothly.,2,2,0,2,1
31,I want a computer that is thinner than my previous computer.,1,0,1,2,2
32,I am changing my old computer and I want the new one to be easy to upgrade with a high performance-cost ratio.,2,0,1,2,1
33,"I am in a nursery school and I use my laptop several hours a day. I need it to be easy to set up. Also, it should be fast with the perfect screen size.",1,1,1,3,1
34,I hope the price would be reasonable for a good computer.,3,2,1,4,2
35,I need a computer with great screen.,2,2,1,2,2
36,"I want a replacement for my old computer and I need a new one that comes with amazing build quality. For the specs, a good keyboard and wonderful display quality and resolution are expected. Moreover, the price should be reasonable.",1,4,1,3,2
37,I need to change my old business laptop and I am finding a model with a smooth keyboard and a nice look.,2,2,0,2,2
38,I want a computer that do super fast startup and have a good processor. I want it to be light and have a thin screen so I can carry it around. I also want adequate RAM to store my data.,2,2,1,2,2
39,I have never had a laptop before and so I am finding one that can run games with an amazing battery life.,1,0,1,2,2
40,I hope the computer will fit with my budget.,1,0,1,2,2
41,I do basic browsing and I am finding a cheap computer which comes up with the performance.,2,2,1,4,2
42,I am looking for a new computer that has a sharp screen and a fast hard drive. It should also be thin and light.,1,4,1,2,2
43,I work for a long time so the battery life should be long enough to support my work.,3,2,2,0,3
44,I am going to find a new computer for long-term use. I would like a reassign of the Fn keys to make it look special. The speakers should be nice and the screen should be bright enough for indoor use. I need the price to be reasonable.,2,2,1,3,2
45,I am changing my old computer and I want a new one that is faster and more economical. There should be lots of memory.,2,2,0,2,2
46,I want a fast computer with a good shell. The keys should be comfortable and the screen size should be acceptable. A reasonable battery life is also expected. I also want some good ports. Hopefully the computer is speedy and have a reasonable price.,2,2,4,4,2
47,"I have some criteria for my dream computer. For the size, it should be a small and light computer. For the price, I hope it won't be too high. For the content, I want it to have a high expandability and can handle heavy duty work loads with a solid I/O options. I don't want the computer to go overheat while performing the jobs. For the design, I prefer a sleek and neutral one. For the battery, I need it to be long enough to support my work. For the hardware, I need a great display panel, a sturdy keyboard with great typing experience and keys with red LEDs as the backlit.",1,0,5,2,2
48,I checked many computers on Amazon and I want to find one with high performance-cost ratio.,1,0,1,2,2
49,A fast computer with a reasonable price is what I need.,1,0,1,2,2
50,"I want a good-looking computer with an awesome keyboard. I also want it to have a precise trackpad, NVME slots and great USB-C charging. ",3,2,3,2,2
51,My old computer needs replacement and the new one should come with good speakers and video quality with a low cost.,2,2,0,2,2
52,"I am finding a new computer that is light, handy and easy to use.",2,2,0,2,2
53,I want to have a new computer that is easy to setup. The speakers should be good though.,2,2,1,1,1
