index,need,cpu,graphicard,hardisk,ram,screen
0,I have to change my computer and I want a faster one with a good display.,2,0,1,2,1
1,"For the specs, I specifically need a near-full-size keyboard and a non-glossy screen.",1,0,1,2,2
2,"I am going to buy a new computer and I want it to have decent graphics and storage. I take my laptop around the campus so it should be sleek and light. Moreover, the price should be reasonable.",1,4,1,3,2
3,I need a present for my husband and I hope it can with a reasonable price.,1,0,1,2,1
4,I want to have a new computer that comes with the highest performance-cost ratio.,2,2,1,2,1
5,I need a new laptop that is fast and has a nice backlit keyboard.,2,2,0,2,1
6,I need a light computer with a good screen.,1,4,1,2,2
7,I need a functional yet inexpensive model.,3,2,1,2,2
8,My work require me to have a new computer so I am out here finding a thin computer with nice display and sturdy keyboard.,3,2,2,0,3
9,My old computer died suddenly and I need a new one that is fast and economical. The screen should also be good looking.,1,2,3,2,4
10,I am on budget gaming but I need a computer that turns on quickly.,1,4,1,3,2
11,My dream computer is a powerful laptop.,1,0,5,2,2
12,I need a computer that comes with a high performance-cost ratio.,1,4,1,3,2
13,I don't have much money so I would need a computer with reasonable price.,2,2,1,2,2
14,A lightweight computer is what I need.,2,4,3,2,2
15,The computer I want should have excellent thermals and graphics. It would be great if it runs cool and is functioned with great screen and touch sensor. I hope it goes with a high performance-cost ratio.,1,0,5,2,2
16,I want a well-built computer.,1,0,5,2,2
17,My current computer is not keeping up with my expectation so I need a new computer with a high performance-cost ratio.,1,2,1,2,3
18,I need a gift that is fast and economical.,3,2,2,4,2
19,"I am finding a new computer for myself and I want it to boot up fast and handle several games well. Of course, the price can't be too high.",1,4,1,3,2
20,I want a computer that is well designed.,2,2,1,4,2
21,A fast computer with a high performance-cost ratio is what I need.,2,0,1,2,2
22,I need a fast computer.,2,2,1,2,2
23,I want a computer that is able to run games at a high-ultra setting without getting too hot.,1,0,5,2,2
24,I need a computer with a reasonable price.,1,0,1,2,2
25,Price is what I look into when purchasing a new computer.,2,2,1,3,1
26,"The computer should boot up and connect to the Wifi in a super fast way, but I don't want the price to be too high and the diplay should be great also.",2,2,1,2,2
27,I am finding the best computer with a great configuration.,1,4,1,2,2
28,I want to find a computer with high performance-cost ratio that would be perfect to use in trips.,1,0,1,2,2
29,I am not affordable to all computers but I want one that is fast and comes with minimal bloatware.,3,2,2,0,3
30,My old computer lasts for five years and now I am finding a new one with large storage and high performance-cost ratio.,2,2,0,2,2
31,I am finding myself a new computer that is light and come with nice size. The battery should last long and be replaceable.,3,2,1,2,2
32,"I would just use the computer for some light use so all I need is fast, cheap and good graphics.",1,4,1,3,2
33,I work at home so it's important for me to have a computer that is fast and priced well.,1,4,1,3,2
34,I need a great screen to better do my spreadsheets.,1,2,1,2,3
35,I am finding a new laptop for gaming and a short boot up time is expected.,1,0,1,2,1
36,"I am looking for a working laptop for myself and it should look good with a good feel of keyboard. It should also be quiet, lightweight and economical.",2,1,1,2,2
37,I do literally everything on my laptop so I hope it to be easily upgradable and have a reasonable price. I take it around so I hope it looks attractive.,1,0,1,2,2
38,"I am finding a budget computer that is portable and cool. The battery life should be decent. Moreover, the computer should boot up fast.",3,2,2,0,3
39,I dont want my computer to slow down so a no is for those bloatware.,1,4,1,3,2
40,I am not having much money at the moment and what I need is a computer with a reasonable price.,3,2,1,4,2
41,I travel a lot so I would like to have a sturdy and handy laptop.,3,2,5,4,6
42,I need a new computer that my video games can function well on it.,1,0,1,2,2
