index,review,cpu,graphicard,hardisk,ram,screen
0,"Like others have said, 4GB for Windows 10 is crazy low. It is partly my fault for not doing research, but it's also the manufacturer's/seller's obligation to make sure the OS runs properly.",3,2,5,4,3
1,was a gr8 buy,2,2,5,4,6
2,"I just got the laptop today and have finally customized and installed everything I need on it (aside from all the games I want). I am a Computer Science major and avid PC game player so this laptop will be perfect for me. The laptop I had before this one was another ASUS ROG, I believe it was the GL551JM. It had Intel i7, GeForce GTX 960m, 1TB HDD, and 256GB SSD. So really the only upgrade I went for with a new laptop was the new processor, graphics card, and overall design. So far I love this design of the laptop, it feels very sturdy and comfortable and honestly it is quite sexy and slim. I was so happy when I took it out of the box. Another reason I upgraded laptops was because I had my previous one for about 3 years and the motherboard was giving out, the display wouldn't always turn on so I had to power on and off the laptop until it did. Occasionally the screen would have a glitch of pink lines coming up from the bottom of the screen. So it was in due time of getting a new laptop. I do hope this one will last longer than my last one, I will be sure to take extra care of this one too. It doesn't help that I commute back and forth from school with the laptop but this new one is slimmer and lighter than the last.",2,0,1,0,2
3,It kept giving the message no storage. Came with installed games from previous owner.,3,4,5,4,3
4,In the middle of trying to resolve an issue with the laptop frequently losing WiFi internet connection whereas our other devices stay connected. Hopeful that we dont have a lemon. Love the slim lightweight design.,3,3,3,2,4
5,The best purchase in terms of computers. Sometimes it is a little noisy but the battery life and the light weight combined with it's practicality make it a wonderful choice.,3,3,3,2,4
6,"So far, so good!!",2,2,1,2,0
7,"This is the worst laptop I have ever owned. It's slow. The touchpad is unresponsive intermittently. It locks up while doing something in the back ground that you can hear the drive moving, but gives no indication what the hell it is doing. I've tried everything I can to speed this thing up. I about to throw it out and try something else. I would have sent it back, but I ended up having to have surgery and the return time ran out.",2,2,1,2,2
8,I love it . it handles all my needs easy set up bought a second one for my grandson,2,2,3,4,3
9,Laptop is great,3,1,2,4,2
10,"Let me start by saying Ive been an Apple-only user until recently. I use my MacBook Pro for work and my iPad when Im traveling. Ive been traveling more and more as of late, and I find that the iPad really cant do everything I need. For the amount of time I spend on an airplane, I need a fully functional device capable of heavier lifting than the iPad. But for the amount of time I spend trekking through airports, I need a device that I can carry easily in my shoulder bag. The MacBook Pro starts to feel heavy when Im on the long march between concourses. So Ive been looking for a new computer that can replace both the iPad and the Mac, and I think Microsoft might have just created it.The Surface Laptop is very sleek. The fact that you can open it with one finger is super helpful for me as Im often on the phone while on my computer, and now I can use one hand for each. I also like that theyve made it with fabric rather than just all metal. Much nicer especially when it gets cold outside; no more cold fingers from the cold metal of my computer.What I like most though is that Microsoft has optimized this device for security. The Windows 10 S operating system is such a smart idea. How great to be able to go anywherein style!and not have to worry about my computer being safe from viruses.I have to say, Im becoming a convert. I never thought Id leave Apple but Im so impressed with what Microsoft is doing. First the Surface Studio and now the Surface LaptopI guess were going to be a Windows household soon!",1,2,3,2,4
11,VERY HAPPY WITH THIS PURCHASE.,2,2,1,3,2
12,"I love it, so far! Quite easy to convert to Office 10 Pro if you already have it on another machine. Thanks Microsoft! Thanks to a quick internet search, I didn't even have to call my brother-in-law to help!",0,2,3,2,4
13,"Love the 8th gen, the slick design",3,3,3,2,4
14,"didn't realize that it doesn't have windows 10, strictly made for chrome, I'm",2,2,5,4,2
